=== Scratch Detection Report ===

Total Scratches: 37
Status: FAILED

Detailed List:
   ID   Center (x,y)      Length      Angle
--------------------------------------------------
    1     509,  579       53.00       88.57
    2     634,  576       46.00       85.82
    3     585,  576       53.00        8.13
    4     616,  563       36.00        0.00
    5     478,  562       40.00        3.27
    6     469,  555       61.00        8.53
    7     650,  538       43.00       88.45
    8     453,  548       94.00       11.80
    9     383,  527       66.00       84.38
   10     363,  533       44.00       21.25
   11     619,  517      122.00        0.58
   12     787,  493       40.00        7.50
   13     349,  479       17.00       39.29
   14     675,  428       18.00       50.19
   15     167,  416       34.00       78.02
   16     314,  401       28.00       82.57
   17    1001,  384       28.00       54.87
   18     553,  370       50.00       73.81
   19     289,  346       25.00       14.04
   20-2147483648,-2147483648       41.00      -90.00
   21     845,  337       40.00       74.29
   22     840,  307       39.00       73.74
   23     216,  294       33.00       90.00
   24-2147483648,-2147483648       54.00      -90.00
   25     772,  277       21.00        8.97
   26-2147483648,-2147483648       89.00       90.00
   27     504,  236       19.00       51.84
   28-2147483648,-2147483648       27.00       90.00
   29-2147483648,-2147483648       26.00      -90.00
   30     377,  226       39.00       36.87
   31     516,  198       35.00       45.00
   32      91,  144       30.00       88.03
   33     851,  206      299.00       90.00
   34     736,   97      375.00       87.40
   35     699,   66       28.00       68.75
   36      17,   37       31.00       72.35
   37     173,   24      221.00       83.72
