=== Scratch Detection Report ===

Total Scratches: 68
Status: FAILED

Detailed List:
   ID   Center (x,y)      Length      Angle
--------------------------------------------------
    1     364,  827       29.00       66.04
    2     333,  814       47.00       57.26
    3     562,  790       37.00       81.12
    4     554,  790       38.00       81.63
    5     562,  781       43.00       79.29
    6     320,  797       61.00       59.35
    7     266,  781       17.00       45.00
    8     318,  790       61.00       57.01
    9     617,  779       61.00       71.57
   10     600,  768       55.00       83.99
   11     568,  761       26.00       82.87
   12     615,  754       24.00       75.07
   13     270,  778       66.00       48.67
   14     395,  756       85.00       68.96
   15     266,  738       53.00       59.04
   16     508,  719       78.00       74.48
   17     422,  715       45.00       68.20
   18     208,  717       39.00       53.53
   19     512,  703       50.00       78.69
   20     233,  699       45.00       69.44
   21     190,  696       61.00       55.58
   22     192,  686       47.00       59.98
   23     156,  682       32.00       47.20
   24     187,  667       30.00       72.90
   25     163,  672       51.00       61.56
   26     604,  663       29.00       76.76
   27     128,  658       56.00       57.05
   28     130,  666       65.00       55.01
   29      93,  654       32.00       41.50
   30     119,  638       26.00       65.77
   31      23,  631       36.00       41.88
   32     516,  612       21.00       78.69
   33     473,  612       76.00       76.33
   34     441,  620       62.00       67.17
   35      54,  609       47.00       67.62
   36     549,  606       50.00       76.33
   37     513,  586       50.00       80.13
   38     960,  608      258.00       18.57
   39     284,  564       45.00       44.27
   40     277,  526       70.00       42.40
   41     588,  476       22.00       42.14
   42     196,  450       22.00       36.87
   43     134,  442       80.00       28.47
   44     375,  407       24.00       36.47
   45     355,  396       39.00       40.60
   46      53,  396      100.00       27.15
   47     427,  355       81.00       75.17
   48      43,  356       35.00       35.36
   49     310,  360       50.00       38.66
   50     326,  366       81.00       36.51
   51     233,  358      106.00       67.03
   52     234,  341       48.00       63.43
   53     249,  318       31.00       15.07
   54     460,  271      123.00       72.73
   55     362,  296      124.00       72.57
   56     493,  253       86.00       43.32
   57     309,  201      196.00       66.95
   58     363,  143       45.00       43.03
   59     476,   27       23.00       86.82
   60     433,   27      106.00        5.14
   61     566,   28      200.00       83.63
   62     607,    8       54.00       80.54
   63-2147483648,-2147483648      154.00       10.69
   64     598,    4       72.00       77.91
   65     251,    0      125.00        8.39
   66     380,   28      150.00       10.89
   67     210,    2      172.00       10.33
   68     342,   30      212.00        9.17
